LogID,TicketID,ActionType,ActionByID,ActionAt,PreviousValue,NewValue,Notes
4549,897,Resolved,101,2023-02-22 00:55,In Progress,Resolved,Resolution confirmed. Notes added.
4550,897,Closed,101,2023-02-24 23:55,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4551,898,Created,55,2024-06-30 05:14,,Open,Ticket created via Email
4552,898,Assigned,55,2024-06-30 05:33,Unassigned,Agent 55,Auto-routed by category specialism match
4553,898,Responded,55,2024-06-30 08:04,Open,In Progress,Initial response sent to client
4554,898,Resolved,55,2024-06-30 15:58,In Progress,Resolved,Resolution confirmed. Notes added.
4555,898,Closed,55,2024-07-02 02:58,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4556,899,Created,40,2024-04-23 21:30,,Open,Ticket created via Email
4557,899,Assigned,40,2024-04-23 21:36,Unassigned,Agent 40,Auto-routed by category specialism match
4558,899,Responded,40,2024-04-24 05:33,Open,In Progress,Initial response sent to client
4559,899,Status Changed,40,2024-04-24 15:33,In Progress,Pending Client,Query sent to insurer
4560,899,Resolved,40,2024-04-24 19:28,In Progress,Resolved,Resolution confirmed. Notes added.
4561,899,Closed,40,2024-04-25 07:28,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4562,900,Created,107,2024-11-14 21:34,,Open,Ticket created via Email
4563,900,Assigned,107,2024-11-14 21:52,Unassigned,Agent 107,Auto-routed by category specialism match
4564,900,Responded,107,2024-11-14 23:07,Open,In Progress,Initial response sent to client
4565,900,Status Changed,107,2024-11-15 05:07,In Progress,In Progress,Additional information requested
4566,900,Resolved,107,2024-11-15 12:19,In Progress,Resolved,Resolution confirmed. Notes added.
4567,900,Closed,107,2024-11-17 07:19,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4568,901,Created,64,2023-12-06 00:44,,Open,Ticket created via Portal
4569,901,Assigned,64,2023-12-06 00:46,Unassigned,Agent 64,Auto-routed by category specialism match
4570,901,Responded,64,2023-12-06 03:22,Open,In Progress,Initial response sent to client
4571,901,Status Changed,64,2023-12-06 21:22,In Progress,Pending Client,Query sent to insurer
4572,901,Resolved,64,2023-12-07 07:39,In Progress,Resolved,Resolution confirmed. Notes added.
4573,901,Closed,64,2023-12-10 06:39,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4574,902,Created,25,2023-08-03 18:53,,Open,Ticket created via Portal
4575,902,Assigned,25,2023-08-03 19:06,Unassigned,Agent 25,Auto-routed by category specialism match
4576,902,Responded,25,2023-08-04 00:23,Open,In Progress,Initial response sent to client
4577,902,Resolved,25,2023-08-06 03:11,In Progress,Resolved,Resolution confirmed. Notes added.
4578,902,Closed,25,2023-08-08 07:11,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4579,903,Created,26,2025-01-07 13:07,,Open,Ticket created via Form
4580,903,Assigned,26,2025-01-07 13:25,Unassigned,Agent 26,Auto-routed by category specialism match
4581,903,Responded,26,2025-01-07 19:32,Open,In Progress,Initial response sent to client
4582,903,Resolved,26,2025-01-11 01:05,In Progress,Resolved,Resolution confirmed. Notes added.
4583,903,Closed,26,2025-01-14 01:05,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4584,904,Created,49,2023-09-24 22:17,,Open,Ticket created via Phone
4585,904,Assigned,49,2023-09-24 22:30,Unassigned,Agent 49,Auto-routed by category specialism match
4586,904,Responded,49,2023-09-24 23:43,Open,In Progress,Initial response sent to client
4587,904,Status Changed,49,2023-09-25 09:43,In Progress,Pending Client,Query sent to insurer
4588,904,Resolved,49,2023-09-25 19:54,In Progress,Resolved,Resolution confirmed. Notes added.
4589,905,Created,84,2023-04-09 23:48,,Open,Ticket created via Email
4590,905,Assigned,84,2023-04-10 00:04,Unassigned,Agent 84,Auto-routed by category specialism match
4591,905,Responded,84,2023-04-10 12:17,Open,In Progress,Initial response sent to client
4592,905,Resolved,84,2023-04-19 02:06,In Progress,Resolved,Resolution confirmed. Notes added.
4593,905,Closed,84,2023-04-21 18:06,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4594,906,Created,86,2024-08-23 12:43,,Open,Ticket created via Phone
4595,906,Assigned,86,2024-08-23 12:49,Unassigned,Agent 86,Auto-routed by category specialism match
4596,906,Responded,86,2024-08-23 15:32,Open,In Progress,Initial response sent to client
4597,906,Resolved,86,2024-08-24 22:37,In Progress,Resolved,Resolution confirmed. Notes added.
4598,906,Closed,86,2024-08-27 09:37,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4599,907,Created,8,2025-01-09 16:51,,Open,Ticket created via Form
4600,907,Assigned,8,2025-01-09 17:07,Unassigned,Agent 8,Auto-routed by category specialism match
4601,907,Responded,8,2025-01-09 20:40,Open,In Progress,Initial response sent to client
4602,907,Resolved,8,2025-01-10 16:37,In Progress,Resolved,Resolution confirmed. Notes added.
4603,907,Closed,8,2025-01-13 01:37,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4604,908,Created,48,2025-03-29 08:13,,Open,Ticket created via Portal
4605,908,Assigned,48,2025-03-29 08:22,Unassigned,Agent 48,Auto-routed by category specialism match
4606,909,Created,111,2023-06-24 20:05,,Open,Ticket created via Phone
4607,909,Assigned,111,2023-06-24 20:24,Unassigned,Agent 111,Auto-routed by category specialism match
4608,909,Responded,111,2023-06-25 01:19,Open,In Progress,Initial response sent to client
4609,909,Resolved,111,2023-06-25 22:20,In Progress,Resolved,Resolution confirmed. Notes added.
4610,909,Closed,111,2023-06-28 00:20,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4611,910,Created,31,2024-02-23 17:06,,Open,Ticket created via Email
4612,910,Assigned,31,2024-02-23 17:10,Unassigned,Agent 31,Auto-routed by category specialism match
4613,910,Responded,31,2024-02-23 18:44,Open,In Progress,Initial response sent to client
4614,910,Status Changed,31,2024-02-23 21:44,In Progress,Pending Client,Pending document verification
4615,910,Resolved,31,2024-02-25 13:41,In Progress,Resolved,Resolution confirmed. Notes added.
4616,910,Closed,31,2024-02-26 21:41,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4617,911,Created,57,2023-12-13 11:39,,Open,Ticket created via Phone
4618,911,Assigned,57,2023-12-13 11:50,Unassigned,Agent 57,Auto-routed by category specialism match
4619,911,Responded,57,2023-12-13 13:30,Open,In Progress,Initial response sent to client
4620,912,Created,45,2023-03-07 14:56,,Open,Ticket created via Phone
4621,912,Assigned,45,2023-03-07 15:03,Unassigned,Agent 45,Auto-routed by category specialism match
4622,912,Responded,45,2023-03-07 19:44,Open,In Progress,Initial response sent to client
4623,912,Status Changed,45,2023-03-08 14:44,In Progress,In Progress,Pending document verification
4624,912,Resolved,45,2023-03-09 12:42,In Progress,Resolved,Resolution confirmed. Notes added.
4625,912,Closed,45,2023-03-11 22:42,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4626,913,Created,77,2024-01-22 18:48,,Open,Ticket created via Phone
4627,913,Assigned,77,2024-01-22 18:55,Unassigned,Agent 77,Auto-routed by category specialism match
4628,913,Responded,77,2024-01-22 20:22,Open,In Progress,Initial response sent to client
4629,913,Resolved,77,2024-01-23 03:55,In Progress,Resolved,Resolution confirmed. Notes added.
4630,913,Closed,77,2024-01-25 00:55,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4631,914,Created,21,2023-09-28 21:53,,Open,Ticket created via Portal
4632,914,Assigned,21,2023-09-28 22:10,Unassigned,Agent 21,Auto-routed by category specialism match
4633,914,Responded,21,2023-09-29 02:48,Open,In Progress,Initial response sent to client
4634,914,Status Changed,21,2023-09-29 08:48,In Progress,In Progress,Additional information requested
4635,914,Resolved,21,2023-10-01 15:05,In Progress,Resolved,Resolution confirmed. Notes added.
4636,914,Closed,21,2023-10-03 04:05,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4637,915,Created,27,2024-01-21 12:11,,Open,Ticket created via Email
4638,915,Assigned,27,2024-01-21 12:29,Unassigned,Agent 27,Auto-routed by category specialism match
4639,915,Responded,27,2024-01-21 15:43,Open,In Progress,Initial response sent to client
4640,915,Status Changed,27,2024-01-21 19:43,In Progress,Pending Client,Query sent to insurer
4641,915,Resolved,27,2024-01-22 16:36,In Progress,Resolved,Resolution confirmed. Notes added.
4642,915,Closed,27,2024-01-24 11:36,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4643,916,Created,50,2023-05-29 21:55,,Open,Ticket created via Email
4644,916,Assigned,50,2023-05-29 22:08,Unassigned,Agent 50,Auto-routed by category specialism match
4645,916,Responded,50,2023-05-30 03:59,Open,In Progress,Initial response sent to client
4646,916,Resolved,50,2023-06-01 16:28,In Progress,Resolved,Resolution confirmed. Notes added.
4647,916,Closed,50,2023-06-04 02:28,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4648,917,Created,118,2023-02-22 18:30,,Open,Ticket created via Email
4649,917,Assigned,118,2023-02-22 18:37,Unassigned,Agent 118,Auto-routed by category specialism match
4650,917,Responded,118,2023-02-22 22:20,Open,In Progress,Initial response sent to client
4651,917,Resolved,118,2023-02-24 15:32,In Progress,Resolved,Resolution confirmed. Notes added.
4652,917,Closed,118,2023-02-25 12:32,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4653,918,Created,1,2024-04-06 11:25,,Open,Ticket created via Email
4654,918,Assigned,1,2024-04-06 11:28,Unassigned,Agent 1,Auto-routed by category specialism match
4655,918,Responded,1,2024-04-06 12:45,Open,In Progress,Initial response sent to client
4656,918,Status Changed,1,2024-04-07 09:45,In Progress,Pending Client,Pending document verification
4657,918,Resolved,1,2024-04-07 12:00,In Progress,Resolved,Resolution confirmed. Notes added.
4658,918,Closed,1,2024-04-09 10:00,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4659,919,Created,63,2024-07-29 03:24,,Open,Ticket created via Phone
4660,919,Assigned,63,2024-07-29 03:30,Unassigned,Agent 63,Auto-routed by category specialism match
4661,919,Responded,63,2024-07-29 20:05,Open,In Progress,Initial response sent to client
4662,919,Status Changed,63,2024-07-30 13:05,In Progress,Pending Client,Pending document verification
4663,919,Resolved,63,2024-08-02 14:06,In Progress,Resolved,Resolution confirmed. Notes added.
4664,919,Closed,63,2024-08-05 02:06,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4665,920,Created,29,2024-05-09 07:26,,Open,Ticket created via Form
4666,920,Assigned,29,2024-05-09 07:30,Unassigned,Agent 29,Auto-routed by category specialism match
4667,920,Responded,29,2024-05-09 08:46,Open,In Progress,Initial response sent to client
4668,920,Status Changed,29,2024-05-09 12:46,In Progress,In Progress,Query sent to insurer
4669,920,Resolved,29,2024-05-09 21:43,In Progress,Resolved,Resolution confirmed. Notes added.
4670,920,Closed,29,2024-05-12 20:43,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4671,921,Created,85,2023-04-21 14:25,,Open,Ticket created via Email
4672,921,Assigned,85,2023-04-21 14:32,Unassigned,Agent 85,Auto-routed by category specialism match
4673,921,Responded,85,2023-04-21 15:43,Open,In Progress,Initial response sent to client
4674,921,Resolved,85,2023-04-22 00:24,In Progress,Resolved,Resolution confirmed. Notes added.
4675,921,Closed,85,2023-04-24 12:24,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4676,922,Created,92,2023-01-09 07:34,,Open,Ticket created via Portal
4677,922,Assigned,92,2023-01-09 07:54,Unassigned,Agent 92,Auto-routed by category specialism match
4678,922,Responded,92,2023-01-09 08:19,Open,In Progress,Initial response sent to client
4679,922,Status Changed,92,2023-01-09 21:19,In Progress,In Progress,Additional information requested
4680,922,Resolved,92,2023-01-09 12:20,In Progress,Resolved,Resolution confirmed. Notes added.
4681,922,Closed,92,2023-01-11 08:20,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4682,923,Created,83,2023-02-27 20:55,,Open,Ticket created via Portal
4683,923,Assigned,83,2023-02-27 21:08,Unassigned,Agent 83,Auto-routed by category specialism match
4684,923,Responded,83,2023-02-27 21:31,Open,In Progress,Initial response sent to client
4685,923,Status Changed,83,2023-02-28 12:31,In Progress,In Progress,Query sent to insurer
4686,923,Resolved,83,2023-02-28 06:08,In Progress,Resolved,Resolution confirmed. Notes added.
4687,923,Closed,83,2023-03-01 08:08,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4688,924,Created,40,2023-03-20 21:42,,Open,Ticket created via Email
4689,924,Assigned,40,2023-03-20 21:52,Unassigned,Agent 40,Auto-routed by category specialism match
4690,924,Responded,40,2023-03-21 01:47,Open,In Progress,Initial response sent to client
4691,924,Status Changed,40,2023-03-21 16:47,In Progress,In Progress,Awaiting client confirmation
4692,924,Resolved,40,2023-03-22 15:05,In Progress,Resolved,Resolution confirmed. Notes added.
4693,925,Created,30,2023-03-04 07:47,,Open,Ticket created via Phone
4694,925,Assigned,30,2023-03-04 08:04,Unassigned,Agent 30,Auto-routed by category specialism match
4695,925,Responded,30,2023-03-04 09:56,Open,In Progress,Initial response sent to client
4696,925,Resolved,30,2023-03-08 05:55,In Progress,Resolved,Resolution confirmed. Notes added.
4697,925,Closed,30,2023-03-09 09:55,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4698,926,Created,111,2023-11-13 19:22,,Open,Ticket created via Email
4699,926,Assigned,111,2023-11-13 19:42,Unassigned,Agent 111,Auto-routed by category specialism match
4700,926,Responded,111,2023-11-13 20:42,Open,In Progress,Initial response sent to client
4701,926,Resolved,111,2023-11-15 15:34,In Progress,Resolved,Resolution confirmed. Notes added.
4702,926,Closed,111,2023-11-16 04:34,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4703,927,Created,94,2023-03-06 01:34,,Open,Ticket created via Portal
4704,927,Assigned,94,2023-03-06 01:40,Unassigned,Agent 94,Auto-routed by category specialism match
4705,927,Responded,94,2023-03-06 02:11,Open,In Progress,Initial response sent to client
4706,927,Status Changed,94,2023-03-06 06:11,In Progress,Pending Client,Awaiting client confirmation
4707,927,Resolved,94,2023-03-06 07:27,In Progress,Resolved,Resolution confirmed. Notes added.
4708,927,Closed,94,2023-03-06 23:27,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4709,928,Created,25,2024-01-10 15:58,,Open,Ticket created via Portal
4710,928,Assigned,25,2024-01-10 16:17,Unassigned,Agent 25,Auto-routed by category specialism match
4711,928,Responded,25,2024-01-10 16:36,Open,In Progress,Initial response sent to client
4712,928,Status Changed,25,2024-01-10 20:36,In Progress,Pending Client,Awaiting client confirmation
4713,928,Resolved,25,2024-01-11 18:27,In Progress,Resolved,Resolution confirmed. Notes added.
4714,929,Created,105,2023-08-03 01:36,,Open,Ticket created via Form
4715,929,Assigned,105,2023-08-03 01:49,Unassigned,Agent 105,Auto-routed by category specialism match
4716,929,Responded,105,2023-08-03 05:23,Open,In Progress,Initial response sent to client
4717,929,Status Changed,105,2023-08-03 07:23,In Progress,In Progress,Additional information requested
4718,929,Resolved,105,2023-08-05 12:31,In Progress,Resolved,Resolution confirmed. Notes added.
4719,930,Created,32,2024-07-18 16:53,,Open,Ticket created via Form
4720,930,Assigned,32,2024-07-18 17:05,Unassigned,Agent 32,Auto-routed by category specialism match
4721,930,Responded,32,2024-07-18 19:51,Open,In Progress,Initial response sent to client
4722,930,Status Changed,32,2024-07-19 18:51,In Progress,In Progress,Additional information requested
4723,930,Resolved,32,2024-07-19 11:12,In Progress,Resolved,Resolution confirmed. Notes added.
4724,931,Created,9,2024-07-30 14:33,,Open,Ticket created via Email
4725,931,Assigned,9,2024-07-30 14:44,Unassigned,Agent 9,Auto-routed by category specialism match
4726,931,Responded,9,2024-07-30 15:56,Open,In Progress,Initial response sent to client
4727,931,Resolved,9,2024-07-31 10:25,In Progress,Resolved,Resolution confirmed. Notes added.
4728,931,Closed,9,2024-08-01 20:25,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4729,932,Created,16,2024-06-10 21:35,,Open,Ticket created via Portal
4730,932,Assigned,16,2024-06-10 21:54,Unassigned,Agent 16,Auto-routed by category specialism match
4731,932,Responded,16,2024-06-10 22:06,Open,In Progress,Initial response sent to client
4732,932,Status Changed,16,2024-06-11 05:06,In Progress,Pending Client,Pending document verification
4733,932,Resolved,16,2024-06-11 02:59,In Progress,Resolved,Resolution confirmed. Notes added.
4734,932,Closed,16,2024-06-13 12:59,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4735,933,Created,91,2024-02-29 23:23,,Open,Ticket created via Phone
4736,933,Assigned,91,2024-02-29 23:30,Unassigned,Agent 91,Auto-routed by category specialism match
4737,933,Responded,91,2024-03-01 02:22,Open,In Progress,Initial response sent to client
4738,933,Resolved,91,2024-03-03 21:22,In Progress,Resolved,Resolution confirmed. Notes added.
4739,934,Created,49,2024-05-28 05:40,,Open,Ticket created via Form
4740,934,Assigned,49,2024-05-28 05:51,Unassigned,Agent 49,Auto-routed by category specialism match
4741,934,Responded,49,2024-05-28 07:13,Open,In Progress,Initial response sent to client
4742,934,Status Changed,49,2024-05-29 00:13,In Progress,Pending Client,Additional information requested
4743,934,Resolved,49,2024-05-28 10:12,In Progress,Resolved,Resolution confirmed. Notes added.
4744,935,Created,119,2024-11-28 16:34,,Open,Ticket created via Portal
4745,935,Assigned,119,2024-11-28 16:51,Unassigned,Agent 119,Auto-routed by category specialism match
4746,935,Responded,119,2024-11-28 23:29,Open,In Progress,Initial response sent to client
4747,935,Status Changed,119,2024-11-29 09:29,In Progress,Pending Client,Awaiting client confirmation
4748,935,Resolved,119,2024-11-29 17:39,In Progress,Resolved,Resolution confirmed. Notes added.
4749,935,Closed,119,2024-11-30 09:39,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4750,936,Created,15,2024-10-19 19:46,,Open,Ticket created via Email
4751,936,Assigned,15,2024-10-19 20:03,Unassigned,Agent 15,Auto-routed by category specialism match
4752,936,Responded,15,2024-10-19 21:17,Open,In Progress,Initial response sent to client
4753,936,Resolved,15,2024-10-20 12:27,In Progress,Resolved,Resolution confirmed. Notes added.
4754,936,Closed,15,2024-10-21 19:27,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4755,937,Created,76,2023-07-11 13:48,,Open,Ticket created via Form
4756,937,Assigned,76,2023-07-11 14:04,Unassigned,Agent 76,Auto-routed by category specialism match
4757,937,Responded,76,2023-07-11 15:02,Open,In Progress,Initial response sent to client
4758,937,Resolved,76,2023-07-11 20:24,In Progress,Resolved,Resolution confirmed. Notes added.
4759,938,Created,52,2023-01-12 01:49,,Open,Ticket created via Portal
4760,938,Assigned,52,2023-01-12 02:09,Unassigned,Agent 52,Auto-routed by category specialism match
4761,938,Responded,52,2023-01-12 03:36,Open,In Progress,Initial response sent to client
4762,938,Status Changed,52,2023-01-13 03:36,In Progress,Pending Client,Pending document verification
4763,938,Resolved,52,2023-01-13 06:41,In Progress,Resolved,Resolution confirmed. Notes added.
4764,939,Created,27,2025-01-14 12:34,,Open,Ticket created via Portal
4765,939,Assigned,27,2025-01-14 12:36,Unassigned,Agent 27,Auto-routed by category specialism match
4766,939,Responded,27,2025-01-14 14:12,Open,In Progress,Initial response sent to client
4767,939,Status Changed,27,2025-01-15 00:12,In Progress,In Progress,Query sent to insurer
4768,939,Resolved,27,2025-01-14 16:28,In Progress,Resolved,Resolution confirmed. Notes added.
4769,940,Created,103,2023-12-15 01:09,,Open,Ticket created via Phone
4770,940,Assigned,103,2023-12-15 01:17,Unassigned,Agent 103,Auto-routed by category specialism match
4771,940,Responded,103,2023-12-15 05:44,Open,In Progress,Initial response sent to client
4772,940,Status Changed,103,2023-12-15 22:44,In Progress,In Progress,Additional information requested
4773,940,Resolved,103,2023-12-16 07:15,In Progress,Resolved,Resolution confirmed. Notes added.
4774,941,Created,20,2025-03-27 07:31,,Open,Ticket created via Form
4775,941,Assigned,20,2025-03-27 07:45,Unassigned,Agent 20,Auto-routed by category specialism match
4776,942,Created,100,2024-11-09 06:49,,Open,Ticket created via Portal
4777,942,Assigned,100,2024-11-09 06:54,Unassigned,Agent 100,Auto-routed by category specialism match
4778,942,Responded,100,2024-11-10 03:50,Open,In Progress,Initial response sent to client
4779,942,Status Changed,100,2024-11-10 18:50,In Progress,In Progress,Awaiting client confirmation
4780,942,Resolved,100,2024-11-10 19:06,In Progress,Resolved,Resolution confirmed. Notes added.
4781,942,Closed,100,2024-11-13 00:06,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4782,943,Created,109,2025-02-25 17:41,,Open,Ticket created via Form
4783,943,Assigned,109,2025-02-25 17:59,Unassigned,Agent 109,Auto-routed by category specialism match
4784,943,Responded,109,2025-02-26 05:11,Open,In Progress,Initial response sent to client
4785,943,Status Changed,109,2025-02-27 05:11,In Progress,In Progress,Query sent to insurer
4786,943,Resolved,109,2025-03-02 03:39,In Progress,Resolved,Resolution confirmed. Notes added.
4787,943,Closed,109,2025-03-03 14:39,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4788,944,Created,98,2023-05-13 02:06,,Open,Ticket created via Portal
4789,944,Assigned,98,2023-05-13 02:11,Unassigned,Agent 98,Auto-routed by category specialism match
4790,944,Responded,98,2023-05-13 03:03,Open,In Progress,Initial response sent to client
4791,944,Resolved,98,2023-05-13 12:29,In Progress,Resolved,Resolution confirmed. Notes added.
4792,944,Closed,98,2023-05-15 03:29,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4793,945,Created,3,2023-09-06 17:32,,Open,Ticket created via Portal
4794,945,Assigned,3,2023-09-06 17:49,Unassigned,Agent 3,Auto-routed by category specialism match
4795,945,Responded,3,2023-09-06 19:06,Open,In Progress,Initial response sent to client
4796,945,Resolved,3,2023-09-06 21:44,In Progress,Resolved,Resolution confirmed. Notes added.
4797,946,Created,115,2024-03-07 20:59,,Open,Ticket created via Form
4798,946,Assigned,115,2024-03-07 21:19,Unassigned,Agent 115,Auto-routed by category specialism match
4799,946,Responded,115,2024-03-08 03:47,Open,In Progress,Initial response sent to client
4800,946,Status Changed,115,2024-03-08 13:47,In Progress,In Progress,Pending document verification
4801,946,Resolved,115,2024-03-08 20:09,In Progress,Resolved,Resolution confirmed. Notes added.
4802,946,Closed,115,2024-03-09 09:09,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4803,947,Created,9,2024-08-15 04:56,,Open,Ticket created via Email
4804,947,Assigned,9,2024-08-15 05:10,Unassigned,Agent 9,Auto-routed by category specialism match
4805,947,Responded,9,2024-08-15 13:36,Open,In Progress,Initial response sent to client
4806,947,Status Changed,9,2024-08-16 06:36,In Progress,Pending Client,Awaiting client confirmation
4807,947,Resolved,9,2024-08-24 01:52,In Progress,Resolved,Resolution confirmed. Notes added.
4808,948,Created,26,2023-08-02 21:16,,Open,Ticket created via Portal
4809,948,Assigned,26,2023-08-02 21:23,Unassigned,Agent 26,Auto-routed by category specialism match
4810,948,Responded,26,2023-08-02 23:12,Open,In Progress,Initial response sent to client
4811,948,Status Changed,26,2023-08-03 15:12,In Progress,In Progress,Additional information requested
4812,948,Resolved,26,2023-08-03 16:53,In Progress,Resolved,Resolution confirmed. Notes added.
4813,948,Closed,26,2023-08-03 19:53,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4814,949,Created,92,2025-03-28 05:27,,Open,Ticket created via Phone
4815,949,Assigned,92,2025-03-28 05:47,Unassigned,Agent 92,Auto-routed by category specialism match
4816,949,Responded,92,2025-03-28 07:58,Open,In Progress,Initial response sent to client
4817,949,Status Changed,92,2025-03-28 12:58,In Progress,In Progress,Pending document verification
4818,950,Created,54,2024-02-26 08:18,,Open,Ticket created via Email
4819,950,Assigned,54,2024-02-26 08:27,Unassigned,Agent 54,Auto-routed by category specialism match
4820,950,Responded,54,2024-02-26 14:00,Open,In Progress,Initial response sent to client
4821,950,Status Changed,54,2024-02-27 01:00,In Progress,In Progress,Additional information requested
4822,950,Resolved,54,2024-02-28 07:38,In Progress,Resolved,Resolution confirmed. Notes added.
4823,950,Closed,54,2024-02-29 09:38,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4824,951,Created,49,2024-08-20 03:40,,Open,Ticket created via Email
4825,951,Assigned,49,2024-08-20 03:44,Unassigned,Agent 49,Auto-routed by category specialism match
4826,951,Responded,49,2024-08-20 07:02,Open,In Progress,Initial response sent to client
4827,951,Status Changed,49,2024-08-20 15:02,In Progress,In Progress,Additional information requested
4828,951,Resolved,49,2024-08-20 21:13,In Progress,Resolved,Resolution confirmed. Notes added.
4829,952,Created,66,2024-08-23 14:35,,Open,Ticket created via Phone
4830,952,Assigned,66,2024-08-23 14:52,Unassigned,Agent 66,Auto-routed by category specialism match
4831,952,Responded,66,2024-08-23 16:09,Open,In Progress,Initial response sent to client
4832,952,Resolved,66,2024-08-24 02:21,In Progress,Resolved,Resolution confirmed. Notes added.
4833,952,Closed,66,2024-08-26 17:21,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4834,953,Created,1,2024-04-05 07:38,,Open,Ticket created via Email
4835,953,Assigned,1,2024-04-05 07:49,Unassigned,Agent 1,Auto-routed by category specialism match
4836,953,Responded,1,2024-04-05 10:06,Open,In Progress,Initial response sent to client
4837,953,Status Changed,1,2024-04-06 03:06,In Progress,In Progress,Pending document verification
4838,953,Resolved,1,2024-04-10 07:30,In Progress,Resolved,Resolution confirmed. Notes added.
4839,953,Closed,1,2024-04-12 01:30,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4840,954,Created,24,2023-08-28 09:10,,Open,Ticket created via Phone
4841,954,Assigned,24,2023-08-28 09:21,Unassigned,Agent 24,Auto-routed by category specialism match
4842,954,Responded,24,2023-08-28 10:43,Open,In Progress,Initial response sent to client
4843,954,Resolved,24,2023-08-28 17:06,In Progress,Resolved,Resolution confirmed. Notes added.
4844,954,Closed,24,2023-08-31 15:06,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4845,955,Created,25,2025-01-26 19:52,,Open,Ticket created via Portal
4846,955,Assigned,25,2025-01-26 20:06,Unassigned,Agent 25,Auto-routed by category specialism match
4847,955,Responded,25,2025-01-26 21:43,Open,In Progress,Initial response sent to client
4848,955,Resolved,25,2025-01-27 08:57,In Progress,Resolved,Resolution confirmed. Notes added.
4849,956,Created,96,2024-01-26 13:57,,Open,Ticket created via Email
4850,956,Assigned,96,2024-01-26 14:08,Unassigned,Agent 96,Auto-routed by category specialism match
4851,956,Responded,96,2024-01-27 08:55,Open,In Progress,Initial response sent to client
4852,956,Resolved,96,2024-01-28 17:24,In Progress,Resolved,Resolution confirmed. Notes added.
4853,957,Created,26,2024-12-29 08:18,,Open,Ticket created via Portal
4854,957,Assigned,26,2024-12-29 08:21,Unassigned,Agent 26,Auto-routed by category specialism match
4855,957,Responded,26,2024-12-29 10:51,Open,In Progress,Initial response sent to client
4856,957,Status Changed,26,2024-12-30 03:51,In Progress,Pending Client,Awaiting client confirmation
4857,957,Resolved,26,2024-12-30 12:36,In Progress,Resolved,Resolution confirmed. Notes added.
4858,958,Created,119,2024-05-12 10:27,,Open,Ticket created via Portal
4859,958,Assigned,119,2024-05-12 10:45,Unassigned,Agent 119,Auto-routed by category specialism match
4860,958,Responded,119,2024-05-12 16:44,Open,In Progress,Initial response sent to client
4861,958,Status Changed,119,2024-05-13 03:44,In Progress,In Progress,Additional information requested
4862,958,Resolved,119,2024-05-14 09:56,In Progress,Resolved,Resolution confirmed. Notes added.
4863,958,Closed,119,2024-05-14 20:56,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
4864,959,Created,19,2023-11-23 05:25,,Open,Ticket created via Portal
4865,959,Assigned,19,2023-11-23 05:27,Unassigned,Agent 19,Auto-routed by category specialism match
4866,959,Responded,19,2023-11-23 07:32,Open,In Progress,Initial response sent to client
4867,959,Resolved,19,2023-11-23 21:33,In Progress,Resolved,Resolution confirmed. Notes added.
4868,959,Closed,19,2023-11-23 23:33,Resolved,Closed,Client confirmed satisfaction. Ticket closed.
